url;categoria;subcategoria
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAQKcMVClXLTYTlFHeDwXfoAa_IQdmj1e_F37KS5g5OuHg;Claustro;Auditorio MUTIS
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBpcpJ0V_EkTK705T1nbq9YAcC8C5NHV4YrwGBMHmFBhU0;Casur;PLAZA CAPITAL  211
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBroUEHHq1YQrEa5JyidpAOAZ1JjAssoO_g9S9DvU8Tvr8;Casa Rosarista;Salón BURGOS
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDGVUYym4paR4-QDqY0jXK4AduBthDpD6M5JCrMbK4q2EU;Casa Rosarista;Salón JAGUAL
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBGjwVSo3VCQ4SP8Gf_43_OAckHJilJmcUU-KDTXTrl6Lw;Casa Rosarista;Salón GUINA
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQCQz5kcV1AsT7S-po1geicfAWKK2CmD_Z281sQG-F-G4Ik;Casa Rosarista;Salón CALANDAYMA
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQBtUlcm-Q9cRJL7QRThqg7sAUMiXmBpmH87HYzT8Gb63sA;Casa Rosarista;Salón NIEVES
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDnwmOd4GuaQK3Sf1WzTbsmAfZgVG2xvGe_Zzh4IpNyUN0;Casa Rosarista;Salón MESITAS
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDzphAsELiFSqRfTHYd0jNHAZr0ADHlT4Y9ttsoTl-9_18;Edificio EL TIEMPO;BEATS
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQDFqW4k5qllS7CR7C2TQKBUAc7QL8lXDbbpFrklTmL_d6c;Edificio EL TIEMPO;Auditorio CENTRO DE DIALOGO
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQAInXjK6iJQT4Bpl2VGsCfGATTj55LQXM3y1GnhRuVIhFM;Edificio EL TIEMPO;Sala NASH
https://uredu-my.sharepoint.com/personal/luis_yaya_urosario_edu_co/_layouts/15/download.aspx?share=IQB1Yhyka-z2QqdWM98LvI20AZK6NXzIl2AU_Zw4yMAhPRM;ED. CECILIA HERNÁNDEZ MARIÑO (Ed Calle 12C);SALA COMPUTO 1 - PISO 4
